kecamatan,kelurahan_desa,lat,long,luas
Kademangan,BENDOSARI,-8.219,112.1043,622.89
Kademangan,PAKISAJI,-8.2167,112.0566,636.62
Sutojayan,KAULON,-8.1579,112.2771,237.95
Kanigoro,GOGODESO,-8.1425,112.1877,163.55
Kanigoro,JATINOM,-8.1292,112.1743,225.29
Sanankulon,BENDOWULUNG,-8.1245,112.146,160.39
Kesamben,PAGERWOJO,-8.1241,112.3755,808.45
Kanigoro,KANIGORO,-8.1187,112.2026,292.00
Selorejo,BANJARSARI,-8.1145,112.4083,566.38
Sanankulon,SUMBERINGIN,-8.0932,112.1323,531.00
Srengat,PAKISREJO,-8.0901,112.0521,355.01
Doko,SURU,-8.0873,112.3487,501.91
Doko,JAMBEPAWON,-8.0853,112.3844,345.75
Ponggok,BENDO,-8.0801,112.1162,325.39
Talun,KENDALREJO,-8.0774,112.2533,760.24
Talun,KAMULAN,-8.0761,112.2771,433.25
Kesamben,KEMIRIGEDE,-8.0699,112.4068,345.74
Srengat,TOGOGAN,-8.063,112.0566,"1,013.28"
Ponggok,LANGON,-8.0483,112.067,234.02
Doko,KALIMANIS,-8.04,112.4396,447.10
Wlingi,TEGALASRI,-8.0359,112.3546,925.00
Wonodadi,TAWANGREJO,-8.0356,111.997,393.73
Udanawu,BAKUNG,-8.0033,112.0268,431.76
Gandusari,GADUNGAN,7.9961,112.2921,154.03
Gandusari,KRISIK,-7.9653,112.3688,600.00
Gandusari,TULUNGREJO,-7.9802,112.3408,171.75
Nglegok,SUMBERASRI,-7.9826,112.2032,"19,597.00"
Nglegok,MODANGAN,-7.9843,112.2435,"1,074.18"
Wlingi,BALEREJO,-7.9846,112.4055,536.10
Gandusari,SEMEN,-7.9853,112.3672,946.60
Ponggok,SIDOREJO,-7.9893,112.1352,"1,384.20"
Doko,SUMBERURIP,-7.9922,112.4497,"1,690.00"
Ponggok,GEMBONGAN,-7.9931,112.0904,791.66
Udanawu,BENDOREJO,-7.994,112.06,165.65
Garum,KARANGREJO,-7.9941,112.2539,"1,609.00"
Nglegok,PENATARAN,-7.9986,112.2193,"53,536.00"
Ponggok,CANDIREJO,-8.0033,112.1526,"1,193.00"
Udanawu,SLEMANAN,-8.0038,112.0574,377.85
Ponggok,BACEM,-8.0061,112.1126,529.79
Udanawu,BESUKI,-8.0063,112.0048,"2,190.00"
Nglegok,KEDAWUNG,-8.0067,112.1866,833.00
Ponggok,RINGINANYAR,-8.0069,112.0912,224.00
Udanawu,TEMENGGUNGAN,-8.008,111.9866,282.45
Gandusari,SOSO,-8.0117,112.3275,770.92
Udanawu,SUKOREJO,-8.0123,112.0573,440.00
Wonodadi,JATEN,-8.0135,111.9627,162.17
Gandusari,NGARINGAN,-8.0157,112.3096,"1,274.50"
Udanawu,TUNJUNG,-8.0165,112.0062,385.18
