tahun,kecamatan,kelurahan_desa,kec_lower,kec_kel,lat,long,jumlah_stunting_beresiko,jumlah_stunting_tidak_beresiko,jumlah_sasaran_keluarga,jarak_anak_t1,jarak_anak_t2,jarak_anak_t3,jarak_anak_t4,memiliki_anak_baduta,memiliki_anak_balita,memiliki_anak_pus,memiliki_anak_pus_hamil,air_minum,jamban,asi_eks_jan,asi_eks_feb,asi_eks_mar,asi_eks_apr,asi_eks_may,asi_eks_jun,asi_eks_july,asi_eks_aug,asi_eks_sept,asi_eks_oct,asi_eks_nov,asi_eks_dec,jumlah_puskesmas_asi_eks,jumlah_posyandu,jumlah_posyandu_data_lansia,luas,prop_stunting_luas
2021,Garum,GARUM,garum,garumGARUM,-8.0776,112.2103,509,530,2666,3,291,11,171,145,272,1026,46,46,98,16,16,17,17,15,15,15,16,14,14,13,13,1,7,4,370.70,1.373077961
2021,Wlingi,BERU,wlingi,wlingiBERU,-8.0785,112.3257,299,360,2496,2,368,14,139,135,252,1105,35,18,51,1,1,1,1,1,1,1,0,0,0,0,0,1,1,7,385.14,0.7763410708
2021,Srengat,KAUMAN,srengat,srengatKAUMAN,-8.0790,112.0832,242,291,2427,0,128,1,79,70,115,570,19,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,295.32,0.819450088
2021,Srengat,KERJEN,srengat,srengatKERJEN,-8.0808,112.0584,237,547,2683,0,88,3,50,65,95,464,13,3,14,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1,334.50,0.7085201794
2021,Wonodadi,GANDEKAN,wonodadi,wonodadiGANDEKAN,-8.0810,112.0050,131,173,2309,4,219,9,104,139,216,1108,34,7,56,6,6,9,14,20,22,28,30,36,37,37,36,1,5,1,526.00,0.2490494297
2021,Selorejo,SIDOMULYO,selorejo,selorejoSIDOMULYO,-8.0828,112.4401,543,6538,8674,3,184,11,53,93,152,869,20,805,26,8,3,0,0,0,0,0,6,7,7,7,14,1,8,3,"8,878.00",0.06116242397
2021,Sanankulon,KALIPUCUNG,sanankulon,sanankulonKALIPUCUNG,-8.0831,112.1242,224,276,2412,5,320,16,175,143,253,1168,41,14,109,0,0,0,0,0,0,8,12,19,22,28,35,1,7,3,346.81,0.6458867968
2021,Wlingi,KLEMUNAN,wlingi,wlingiKLEMUNAN,-8.0874,112.3083,517,591,2727,0,202,12,83,74,124,632,19,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,403.00,1.282878412
2021,Srengat,WONOREJO,srengat,srengatWONOREJO,-8.0895,112.0718,3406,646,2782,1,136,5,54,61,108,505,14,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,261.45,13.02734749
2021,Srengat,KANDANGAN,srengat,srengatKANDANGAN,-8.0896,112.0928,369,334,2470,1,142,1,82,89,141,683,21,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,326.00,1.13190184
2021,Wonodadi,KUNIR,wonodadi,wonodadiKUNIR,-8.0900,112.0287,442,182,2318,12,240,3,111,132,228,1107,30,18,102,8,9,18,20,24,25,26,23,23,19,18,19,1,5,1,524.55,0.8426270136
2021,Garum,TINGAL,garum,garumTINGAL,-8.0902,112.2251,337,488,2624,49,104,22,140,111,212,814,33,16,56,8,8,6,5,4,4,7,7,9,10,13,15,1,4,4,280.00,1.203571429
2021,Selorejo,NGRENDENG,selorejo,selorejoNGRENDENG,-8.0910,112.4272,180,103,2239,1,149,8,91,74,165,773,23,331,37,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3,609.16,0.2954888699
2021,Talun,TALUN,talun,talunTALUN,-8.0914,112.2696,409,430,2566,1,226,4,131,110,216,902,33,20,49,0,0,0,0,0,0,0,1,2,2,2,2,1,2,3,403.00,1.014888337
2021,Doko,GENENGAN,doko,dokoGENENGAN,-8.0939,112.3613,148,208,2344,1,102,1,30,45,80,352,9,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,355.25,0.4166080225
2021,Talun,BAJANG,talun,talunBAJANG,-8.0950,112.2911,379,260,2396,1,256,13,92,93,175,786,26,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,405.45,0.9347638426
