tahun,kecamatan,kelurahan_desa,kec_lower,kec_kel,lat,long,jumlah_stunting_beresiko,jumlah_stunting_tidak_beresiko,jumlah_sasaran_keluarga,jarak_anak_t1,jarak_anak_t2,jarak_anak_t3,jarak_anak_t4,memiliki_anak_baduta,memiliki_anak_balita,memiliki_anak_pus,memiliki_anak_pus_hamil,air_minum,jamban,asi_eks_jan,asi_eks_feb,asi_eks_mar,asi_eks_apr,asi_eks_may,asi_eks_jun,asi_eks_july,asi_eks_aug,asi_eks_sept,asi_eks_oct,asi_eks_nov,asi_eks_dec,jumlah_puskesmas_asi_eks,jumlah_posyandu,jumlah_posyandu_data_lansia,luas,prop_stunting_luas
2021,Gandusari,NGARINGAN,gandusari,gandusariNGARINGAN,-8.0157,112.3096,538,801,2937,12,267,8,127,187,310,1321,40,25,126,0,0,0,0,0,0,0,5,5,5,5,5,1,4,8,"1,274.50",0.422126324
2021,Udanawu,TUNJUNG,udanawu,udanawuTUNJUNG,-8.0165,112.0062,2543,205,2341,6,148,12,60,60,120,520,8,20,120,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,385.18,6.602108105
2021,Udanawu,MANGUNAN,udanawu,udanawuMANGUNAN,-8.0167,112.0344,412,327,2463,3,142,9,72,73,109,520,18,13,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,343.88,1.198092358
2021,Gandusari,SLUMBUNG,gandusari,gandusariSLUMBUNG,-8.0193,112.3365,240,245,2381,3,103,10,60,62,101,480,21,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,356.92,0.6724195898
2021,Udanawu,JATI,udanawu,udanawuJATI,-8.0209,111.9862,206,267,2403,0,126,6,42,33,86,403,14,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,275.30,0.7482746095
2021,Ponggok,KARANGBENDO,ponggok,ponggokKARANGBENDO,-8.0211,112.1522,313,380,2516,11,308,11,168,156,290,1283,48,61,358,2,3,5,7,8,10,17,23,26,29,34,36,1,7,3,940.00,0.3329787234
2021,Nglegok,NGORAN,nglegok,nglegokNGORAN,-8.0238,112.1774,280,440,2576,5,166,12,62,83,158,710,17,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,310.00,0.9032258065
2021,Udanawu,SUMBERSARI,udanawu,udanawuSUMBERSARI,-8.0245,112.0604,217,246,2382,7,163,11,68,70,130,575,16,76,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0
2021,Garum,SIDODADI,garum,garumSIDODADI,-8.0254,112.2476,979,1091,3227,13,385,15,272,275,472,2046,72,107,156,23,22,25,25,26,30,32,35,37,36,35,32,1,13,3,987.90,0.990990991
2021,Udanawu,KARANGGONDANG,udanawu,udanawuKARANGGONDANG,-8.0255,112.0343,256,469,2605,1,128,2,46,47,89,453,11,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,353.43,0.7243301361
